departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Antioquia,69099,Caucasia,28158,1489,2501,camara
Putumayo,4320,Colon,2868,57,94,camara
Valle,28981,Roldanillo,16267,321,1044,camara
Huila,8802,Palestina,4430,167,399,camara
Antioquia,6443,Uramita,2597,107,163,camara
Choco,4222,San Jose Del Palmar,1667,89,188,camara
Bolivar,3967,Norosi,1978,78,158,camara
Valle,11084,Obando,6085,178,624,camara
Boyaca,1488,San Eduardo,773,19,54,camara
Amazonas,1391,Tarapaca,641,16,42,camara
Nariño,5616,Sapuyes,3412,94,300,camara
Caldas,6918,Marmato,2457,109,272,camara
Consulados,4051,Honduras,88,1,6,camara
San Andres,44427,San Andres,22338,566,1290,camara
Cauca,31283,Bolivar,13212,507,758,camara
Boyaca,2528,Campohermoso,1020,43,73,camara
Boyaca,5684,Turmeque,2295,43,180,camara
Cundinamarca,7215,Vergara,3084,122,257,camara
Meta,11271,Castilla La Nueva,7507,228,988,camara
Antioquia,4539,Toledo,1466,131,193,camara
Tolima,3822,Murillo,1528,51,177,camara
Boyaca,7315,Muzo,3763,162,343,camara
Choco,8426,Unguia,3764,162,298,camara
Santander,6060,Simacota,2921,156,259,camara
Cauca,17003,Inza,7301,838,592,camara
Boyaca,5428,Sutamarchan,3191,69,238,camara
Cauca,23800,Cajibio,10433,938,971,camara
Cundinamarca,7064,Paratebueno (la Naguaya),3479,143,291,camara
Antioquia,10330,Granada,4113,286,319,camara
Santander,1529,Aguada,838,39,43,camara
Antioquia,11511,Ebejico,3949,236,288,camara
Norte De San,3707,Villa Caro,2032,139,111,camara
Putumayo,6004,Santiago,3263,67,170,camara
Cauca,25682,Patia (el Bordo),9924,462,780,camara
La Guajira,8365,Urumita,5134,157,305,camara
Bolivar,54835,El Carmen De Bolivar,30884,1306,2418,camara
Boyaca,6202,Maripi,2624,43,154,camara
Antioquia,22270,Amaga,8605,279,840,camara
Cordoba,18335,Puerto Escondido,9941,517,551,camara
Santander,4964,Matanza,2861,91,189,camara
Boyaca,5460,Chitaraque,2426,144,267,camara
Quindio,10552,Filandia,5361,239,582,camara
Arauca,28922,Arauquita,14151,600,994,camara
Nariño,22004,La Union,12916,512,930,camara
Tolima,7728,Anzoategui,3434,131,265,camara
Huila,52995,Garzon,25608,933,1960,camara
